2020-08-09 16:33:52,397 | root | INFO | CREATING WORKER_7 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\supurgeler-c-104001-0.html
2020-08-09 16:33:52,511 | root | INFO | CREATING WORKER_8 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\supurgeler-c-104001-1.html
2020-08-09 16:33:52,650 | root | INFO | CREATING WORKER_9 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\supurgeler-c-104001-2.html
2020-08-09 16:33:52,765 | root | INFO | CREATING WORKER_10 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\supurgeler-c-104001-3.html
2020-08-09 16:33:52,884 | root | INFO | CREATING WORKER_11 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\supurgeler-c-104001-4.html
2020-08-09 16:33:52,949 | root | INFO | CREATING WORKER_12 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\supurgeler-c-104001-5.html
2020-08-09 16:33:53,008 | root | INFO | CREATING WORKER_13 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\toz-torbali-supurgeler--0.html
2020-08-09 16:33:53,170 | root | INFO | CREATING WORKER_14 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\toz-torbasiz-supurgeler--0.html
2020-08-09 16:33:53,287 | root | INFO | CREATING WORKER_15 FOR VENDOR : teknosa AND PRODUCT : süpürge FOR PAGE : C:\Users\Berkay\Desktop\CodeLibrary\gitRepositories\e-commerce-crawler\src\assets\teknosa\süpürge\toz-torbasiz-supurgeler--1.html
2020-08-09 16:33:53,287 | root | INFO |  **** Tasks are started **** 
2020-08-09 16:33:53,583 | root | INFO | **** Tasks are ended **** 
2020-08-09 16:33:53,583 | root | INFO | SCRAPER ENDS
2020-08-09 16:33:53,588 | root | INFO | 
-------------------------------------------------------------------------------------------------

